Designator,Mid X,Mid Y,Layer,Rotation
C423,142.696603mm,39.691798mm,Bottom,90.0
C421,143.888203mm,39.691798mm,Bottom,90.0
C422,145.079703mm,39.691798mm,Bottom,90.0
C424,141.500003mm,39.691798mm,Bottom,270.0
R421,145.254703mm,37.929998mm,Bottom,0.0
R423,141.969303mm,28.599998mm,Bottom,180.0
D420,143.500003mm,27.599998mm,Top,0.0
C420,140.450003mm,40.099998mm,Bottom,270.0
L420,148.400003mm,39.999998000000005mm,Bottom,180.0
D421,148.750003mm,29.639198mm,Top,270.0
L421,143.000003mm,32.199998mm,Top,0.0
C474,126.22360300000001mm,29.464996999999997mm,Bottom,270.0
R470,122.570003mm,28.549996999999998mm,Bottom,180.0
U471,127.60500300000001mm,29.496996999999997mm,Top,180.0
R474,128.47000300000002mm,29.464596999999998mm,Bottom,180.0
R473,127.210403mm,28.999996999999997mm,Bottom,270.0
R472,124.695003mm,28.549996999999998mm,Bottom,180.0
C473,128.570003mm,30.449997mm,Bottom,180.0
C472,128.570003mm,28.599997mm,Bottom,0.0
U470,123.630003mm,29.496996999999997mm,Top,180.0
R471,122.570003mm,29.449997mm,Bottom,0.0
C471,122.62000300000001mm,30.449997mm,Bottom,0.0
C470,124.74500300000001mm,30.449997mm,Bottom,180.0
C752,157.350003mm,78.8mm,Bottom,180.0
C753,157.32500299999998mm,76.875mm,Bottom,0.0
C755,155.32500299999998mm,82.0mm,Bottom,0.0
C756,153.190003mm,82.0mm,Bottom,0.0
C757,153.190003mm,81.05mm,Bottom,0.0
C760,148.000003mm,75.3mm,Bottom,270.0
C761,145.05000299999998mm,82.89mm,Bottom,180.0
C762,147.99643999999998mm,77.135389mm,Bottom,90.0
C764,157.14500299999997mm,82.0mm,Bottom,180.0
C766,157.19500299999999mm,82.93mm,Bottom,180.0
R752,145.759256mm,77.24900000000001mm,Bottom,0.0
R753,145.759256mm,75.325mm,Bottom,180.0
R754,157.250003mm,81.05mm,Bottom,180.0
R757,157.20000299999998mm,80.10000000000001mm,Bottom,0.0
R760,157.32500299999998mm,77.825mm,Bottom,0.0
R761,155.375003mm,81.05mm,Bottom,180.0
R762,155.30000299999998mm,80.10000000000001mm,Bottom,180.0
R763,157.21000299999997mm,74.79mm,Bottom,0.0
R765,153.190003mm,82.93mm,Bottom,180.0
R766,153.20291799999998mm,80.10007300000001mm,Bottom,180.0
U752,150.20000299999998mm,81.7mm,Bottom,0.0
U753,152.41572mm,76.85000000000001mm,Bottom,270.0
U757,146.100003mm,80.620784mm,Bottom,0.0
C751,149.17500299999998mm,76.2mm,Top,270.0
C754,152.750003mm,75.22mm,Top,90.0
C758,155.05000299999998mm,75.22mm,Top,270.0
C759,152.750003mm,77.21159300000001mm,Top,90.0
C763,145.05000299999998mm,78.45mm,Top,180.0
C765,148.210003mm,80.27000000000001mm,Top,0.0
C767,155.05000299999998mm,77.21159300000001mm,Top,90.0
C768,150.440003mm,81.52000000000001mm,Top,90.0
C769,157.54000299999998mm,77.8mm,Top,180.0
D751,145.49000299999997mm,79.69mm,Top,0.0
R751,145.350003mm,81.3mm,Top,180.0
R755,149.690003mm,77.60000000000001mm,Top,180.0
R756,149.64500299999997mm,74.72500000000001mm,Top,0.0
R758,150.400003mm,76.164215mm,Top,270.0
R759,149.690003mm,78.60000000000001mm,Top,0.0
R764,153.750003mm,75.22mm,Top,90.0
R767,151.750003mm,77.21159300000001mm,Top,270.0
R768,153.750003mm,77.21159300000001mm,Top,90.0
R769,151.750003mm,75.22mm,Top,90.0
R770,147.79000299999998mm,78.61mm,Top,0.0
U751,146.42570899999998mm,76.281597mm,Top,180.0
U754,154.598033mm,80.9mm,Top,270.0
U755,148.410003mm,82.19mm,Top,0.0
U756,156.946798mm,75.8mm,Top,90.0
C771,151.70000299999998mm,68.4mm,Top,270.0
C772,156.600003mm,67.7mm,Top,180.0
C773,156.600003mm,69.047905mm,Top,180.0
D771,153.500003mm,70.9mm,Top,180.0
R771,147.100003mm,64.7mm,Top,180.0
R772,145.20000299999998mm,68.5mm,Top,270.0
R773,148.80000299999998mm,67.1mm,Top,180.0
R774,148.80000299999998mm,69.6mm,Top,180.0
R775,153.000003mm,68.4mm,Top,270.0
R776,156.600003mm,70.85mm,Top,180.0
R777,154.500003mm,68.4mm,Top,270.0
U771,154.400003mm,65.2mm,Top,0.0
C601,117.450003mm,36.1mm,Bottom,270.0
C602,116.500003mm,36.1mm,Bottom,270.0
C603,116.500003mm,33.9mm,Bottom,90.0
C604,115.550003mm,36.1mm,Bottom,270.0
C605,129.375003mm,34.441668mm,Bottom,0.0
C606,115.550003mm,33.9mm,Bottom,270.0
C607,133.050003mm,38.324999999999996mm,Bottom,0.0
C608,115.775003mm,44.575mm,Bottom,180.0
C617,109.950003mm,41.924628mm,Bottom,270.0
C618,112.374939mm,36.324999999999996mm,Bottom,0.0
D604,111.975003mm,34.15mm,Bottom,180.0
R602,124.275003mm,39.199999999999996mm,Bottom,180.0
R603,123.500003mm,41.2mm,Bottom,0.0
R604,117.450003mm,33.9mm,Bottom,90.0
R605,123.475003mm,40.199999999999996mm,Bottom,180.0
R606,132.075003mm,39.475mm,Bottom,180.0
R607,129.375003mm,33.375mm,Bottom,180.0
R608,125.37500299999999mm,40.199999999999996mm,Bottom,0.0
R609,118.375003mm,44.55mm,Bottom,180.0
R610,127.45000300000001mm,36.949999999999996mm,Bottom,180.0
R611,129.375003mm,36.949999999999996mm,Bottom,180.0
R612,129.375003mm,35.683334mm,Bottom,0.0
R613,119.350003mm,42.849999999999994mm,Bottom,90.0
R614,115.770712mm,43.625mm,Bottom,0.0
R615,117.825003mm,43.15mm,Bottom,0.0
R616,133.025003mm,43.125mm,Bottom,180.0
R618,120.750003mm,41.2mm,Bottom,180.0
R619,121.575003mm,40.199999999999996mm,Bottom,180.0
R620,121.575003mm,39.199999999999996mm,Bottom,0.0
R621,109.950003mm,44.06mm,Bottom,270.0
R622,131.075003mm,43.125mm,Bottom,0.0
R623,119.700003mm,39.199999999999996mm,Bottom,180.0
R624,115.775003mm,45.525mm,Bottom,0.0
R629,109.960003mm,39.913652mm,Bottom,90.0
R630,124.790003mm,42.64mm,Bottom,180.0
U600,122.000003mm,35.65mm,Bottom,270.0
U601,112.650003mm,44.575mm,Bottom,0.0
U605,114.150003mm,39.849627999999996mm,Bottom,180.0
C600,124.237503mm,34.275mm,Top,270.0
C609,115.925003mm,35.699999999999996mm,Top,270.0
C610,110.52700300000001mm,42.25mm,Top,0.0
C611,125.350003mm,40.35mm,Top,270.0
C612,125.350003mm,42.25mm,Top,90.0
C613,111.425003mm,37.725mm,Top,0.0
C614,125.350003mm,38.225mm,Top,90.0
C615,115.250003mm,45.025mm,Top,90.0
C616,113.575003mm,40.1875mm,Top,270.0
D600,133.950003mm,35.125mm,Top,90.0
D601,121.175003mm,33.8mm,Top,180.0
D602,118.200003mm,33.8mm,Top,0.0
D603,113.667553mm,44.629999999999995mm,Top,270.0
Q600,129.510003mm,38.35mm,Top,90.0
Q601,129.60000300000002mm,45.025mm,Top,180.0
R600,125.300003mm,36.175mm,Top,270.0
R601,125.300003mm,34.275mm,Top,270.0
R617,124.050003mm,45.025mm,Top,90.0
R625,113.400003mm,37.699999999999996mm,Top,0.0
R626,123.175003mm,34.275mm,Top,270.0
R627,116.050003mm,33.824999999999996mm,Top,270.0
R628,113.175003mm,42.25mm,Top,180.0
U602,119.700003mm,40.5mm,Top,90.0
U603,111.075003mm,44.5mm,Top,270.0
U604,111.125003mm,40.025mm,Top,0.0
R148,120.150003mm,81.94999mm,Bottom,180.0
R142,121.550003mm,82.84998999999999mm,Bottom,180.0
U108,137.730203mm,49.75899mm,Top,0.0
VD103,140.550003mm,54.344989999999996mm,Bottom,270.0
U101,112.500003mm,79.19639mm,Top,270.0
C119,120.150103mm,74.46939mm,Bottom,0.0
R147,129.161603mm,82.26629mm,Bottom,0.0
R146,109.483903mm,80.84998999999999mm,Bottom,270.0
R141,122.550003mm,82.84998999999999mm,Bottom,180.0
U102,117.606503mm,77.47849mm,Bottom,180.0
R109,117.666303mm,76.88279mm,Top,180.0
R108,114.750003mm,76.49399mm,Bottom,180.0
Q103,118.392803mm,78.94679mm,Top,180.0
Q102,122.945003mm,81.54999mm,Top,180.0
Q101,117.222503mm,81.78499mm,Bottom,0.0
Q100,113.850003mm,79.14498999999999mm,Bottom,270.0
L100,123.749403mm,63.09999mm,Bottom,180.0
F100,125.605003mm,81.77839mm,Bottom,180.0
C120,121.850103mm,62.94949mm,Top,0.0
C107,116.728503mm,79.54999mm,Bottom,0.0
C106,116.753503mm,75.20689mm,Bottom,0.0
U110,116.30310300000001mm,73.15489mm,Bottom,270.0
R145,116.342203mm,70.19469mm,Bottom,0.0
R144,116.342203mm,71.14018999999999mm,Bottom,0.0
R143,109.746803mm,58.98119mm,Bottom,270.0
R107,118.463903mm,81.12839mm,Top,0.0
D108,118.103103mm,82.49999mm,Top,180.0
U107,139.456503mm,58.95389mm,Bottom,0.0
U106,140.142403mm,72.38179mm,Top,0.0
C134,139.456503mm,57.217589999999994mm,Bottom,0.0
C126,140.445203mm,74.32508999999999mm,Top,180.0
VD102,137.196203mm,54.344989999999996mm,Bottom,270.0
